RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
35,French cheese - possible presence of Listeria monocytogenes. ,Recalled.,Microbiological risk - presence of harmful bacteria.,http://www.food.gov.uk/news-updates/news/2016/14866/coop-recalls-irresistible-camembert,2016-02-08
36,French cheese - possible presence of Listeria monocytogenes. ,Recalled.,Microbiological risk - presence of harmful bacteria.,http://www.food.gov.uk/news-updates/news/2016/14869/asda-recalls-its-extra-special-camembert-de-pays-due-to-the-possible-presence-of-listeria-monocytogenes,2016-02-08
37,Organic Shake & Meal Replacement products - possible presence of Salmonella.,Recalled.,Microbiological risk - presence of harmful bacteria.,http://www.food.gov.uk/news-updates/news/2016/14874/raw-meal-organic-shake-meal-replacement-recall,2016-02-12
38,Chocolate bars - might contain pieces of plastic. ,Recalled.,Physical contamination  - possible risk of pieces of plastic.,http://www.food.gov.uk/news-updates/news/2016/14904/mars-chocolate-uk-is-recalling-products-produced-in-the-netherlands-that-might-contain-pieces-of-plastic,2016-02-23
39,Various chocolate bars (6 pack) - might contain pieces of plastic. ,Recalled.,Physical contamination -possible risk of pieces of plastic. ,http://www.food.gov.uk/news-updates/news/2016/14914/lidl-recalls-mars-and-snickers-chocolate-bars,2016-02-25
40,Breakfast cereal - might contain pieces of blue soft rubber. ,Recalled.,Physical contamination - possible risk of pieces of plastic.,http://www.food.gov.uk/news-updates/news/2016/14932/weetabix-food-company-recalls-oatibix-flakes-that-possibly-contain-pieces-of-blue-soft-rubber,2016-02-29
41,Flavoured butters - possible presence of Listeria monocytogenes. ,Recalled.,Microbiological risk - presence of harmful bacteria.,http://www.food.gov.uk/news-updates/news/2016/14938/tesco-recalls-flavoured-butters-due-to-the-possible-presence-of-listeria-monocytogenes,2016-03-01
42,Christmas Puddings - presence of mould. ,Recalled.,Food quality issue - presence of mould has resulted in spoilage of the product.,http://www.food.gov.uk/news-updates/news/2016/14940/selfridges-christmas-puddings-recalled-due-to-the-presence-of-mould,2016-03-01
43,Organic Apricot Kernels - incorrect instructions for use on the label. ,Recalled.,"Toxicological risk - the consumption of apricot kernels should not exceed 1-2 kernels per adult per day, as doses above this could cause an acute health risk ",http://www.food.gov.uk/news-updates/news/2016/14948/nua-naturals-recalling-organic-apricot-kernels,2016-03-01
44,Smoked salmon products - possible presence of Listeria monocytogenes.,Recalled.,Microbiological risk - presence of harmful bacteria.,http://www.food.gov.uk/news-updates/news/2016/14952/scotch-smoked-salmon-co-ltd-recalls-smoked-salmon-products-due-to-the-presence-of-listeria-monocytogenes,2016-03-04
45,Nutrition Shake (vanilla cream flavour) - due to high levels of selenium.,Recalled.,Food supplement risk - long term consumption of this product could result in selenosis and should be avoided. ,http://www.food.gov.uk/news-updates/news/2016/14964/usn-diet-fuel-ultralean-vanilla-selenium,2016-03-07
46,Tikka Chicken Chunks -the presence of Listeria monocytogenes. ,Recalled.,Microbiological risk - presence of harmful bacteria.,http://www.food.gov.uk/news-updates/news/2016/14963/spar-recalls-tikka-chicken-chunks,2016-03-07
47,Basmati Rice and Rice Market Parboiled Rice - possible pest contamination. Recall.,Recaledl.,Physical contamination - products may be subject to pest contamination.,http://www.food.gov.uk/news-updates/news/2016/15015/netto-recalls-two-rice-products,2016-03-22
48,Jeera (Cumin) Powder and Dhania (Coriander) Powder - due to the presence of Salmonella. ,Recalled.,Microbiological risk - presence of harmful bacteria.,http://www.food.gov.uk/news-updates/news/2016/15013/trs-jeera-cumin-powder-dhania-coriander-powder-and-chilli-powder-extra-hot-recalled-due-to-the-presence-of-salmonella,2016-03-29
49,"Various branded biscuit, snack and confectionery products - may have been subject to pest contamination. ",Recalled.,Physical contamination - products may be subject to pest contamination.,http://www.food.gov.uk/news-updates/news/2016/15032/baketime-ltd-recalls-branded-biscuit-and-snack-products,2016-03-29
